epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,7214.76,1.48397,0.73503,1.0806,0.77469,0.64578,0.73208,0.39394,0.26803,0.10828,3770,1.51261,0.71867,1.09542,0.004522,0.004522,0.004522
85,7296.15,1.47144,0.72741,1.07631,0.7843,0.64318,0.73262,0.39144,0.26748,0.10847,3770,1.51503,0.71741,1.09519,0.004456,0.004456,0.004456
86,7377.56,1.47669,0.72514,1.07625,0.79096,0.63963,0.7339,0.39332,0.27031,0.10821,3770,1.50179,0.71832,1.09226,0.00439,0.00439,0.00439
87,7459.18,1.47115,0.72578,1.07583,0.78298,0.64437,0.7364,0.39175,0.27233,0.1081,3770,1.51455,0.71699,1.09762,0.004324,0.004324,0.004324
88,7540.92,1.47353,0.72703,1.07645,0.7883,0.65057,0.73481,0.39527,0.26712,0.10913,3770,1.51235,0.71903,1.09856,0.004258,0.004258,0.004258
89,7622.42,1.46502,0.72221,1.07363,0.7896,0.65667,0.73991,0.39308,0.27318,0.10969,3770,1.52129,0.71606,1.09712,0.004192,0.004192,0.004192
90,7703.83,1.46687,0.71808,1.07476,0.78715,0.66004,0.74236,0.39785,0.28012,0.11347,3770,1.50893,0.71416,1.09622,0.004126,0.004126,0.004126
91,7785.45,1.46167,0.71817,1.06741,0.77834,0.66013,0.74545,0.40011,0.27712,0.11267,3770,1.49913,0.70973,1.08965,0.00406,0.00406,0.00406
92,7866.86,1.46075,0.71688,1.07064,0.79578,0.64772,0.74505,0.39991,0.28021,0.11399,3770,1.50353,0.71062,1.08937,0.003994,0.003994,0.003994
93,7948.03,1.46212,0.71699,1.06971,0.78799,0.64653,0.74277,0.39925,0.27969,0.11421,3770,1.49341,0.70732,1.08758,0.003928,0.003928,0.003928
94,8029.64,1.44925,0.71059,1.06651,0.8008,0.65329,0.74223,0.39628,0.27715,0.11112,3770,1.49785,0.7058,1.08851,0.003862,0.003862,0.003862
95,8111.48,1.45143,0.71058,1.06721,0.77761,0.66545,0.74085,0.39832,0.27306,0.11257,3770,1.49792,0.70586,1.09072,0.003796,0.003796,0.003796
96,8193.59,1.4421,0.7052,1.06514,0.80355,0.64963,0.74694,0.39877,0.27827,0.11253,3770,1.50348,0.70452,1.09165,0.00373,0.00373,0.00373
97,8276.37,1.44038,0.70622,1.06371,0.77706,0.6715,0.74582,0.40007,0.28135,0.11318,3770,1.49717,0.70044,1.09104,0.003664,0.003664,0.003664
98,8358.09,1.43592,0.70285,1.05974,0.79961,0.65553,0.74699,0.40063,0.27817,0.112,3770,1.49553,0.69966,1.08832,0.003598,0.003598,0.003598
99,8441.04,1.43957,0.70519,1.06019,0.79963,0.65606,0.74642,0.40302,0.27959,0.11426,3770,1.49247,0.69922,1.08903,0.003532,0.003532,0.003532
100,8522.85,1.43045,0.69903,1.05884,0.78094,0.66145,0.74422,0.40076,0.28136,0.11397,3770,1.494,0.70111,1.08818,0.003466,0.003466,0.003466
101,8604.34,1.42257,0.70052,1.05665,0.79244,0.66537,0.74663,0.40182,0.28384,0.11467,3770,1.48578,0.69695,1.0838,0.0034,0.0034,0.0034
102,8686.35,1.42538,0.69534,1.05617,0.78817,0.67168,0.75135,0.40576,0.28289,0.11442,3770,1.48804,0.69539,1.08418,0.003334,0.003334,0.003334
103,8768.08,1.42176,0.69484,1.05906,0.78683,0.67455,0.75488,0.40682,0.28524,0.11583,3770,1.49039,0.69529,1.08776,0.003268,0.003268,0.003268
104,8850.17,1.4223,0.69351,1.05477,0.79368,0.66661,0.75401,0.40632,0.2837,0.11595,3770,1.4958,0.69641,1.08755,0.003202,0.003202,0.003202
105,8931.98,1.41612,0.69062,1.05163,0.79426,0.66872,0.75406,0.40476,0.28612,0.11552,3770,1.49065,0.69426,1.08618,0.003136,0.003136,0.003136
106,9013.48,1.41475,0.68703,1.05127,0.79998,0.66572,0.75622,0.40515,0.28654,0.11479,3770,1.48812,0.69408,1.0854,0.00307,0.00307,0.00307
107,9094.96,1.4153,0.68827,1.04975,0.79345,0.66556,0.75343,0.40555,0.28473,0.11487,3770,1.4917,0.69326,1.0858,0.003004,0.003004,0.003004
108,9177.06,1.40901,0.68645,1.05051,0.80312,0.66636,0.75858,0.40841,0.28623,0.11631,3770,1.49073,0.69151,1.08629,0.002938,0.002938,0.002938
109,9258.65,1.40597,0.68049,1.04842,0.8071,0.66441,0.75907,0.40758,0.28673,0.116,3770,1.49095,0.69071,1.08487,0.002872,0.002872,0.002872
110,9339.96,1.40482,0.68083,1.05044,0.80889,0.66979,0.75802,0.40692,0.2899,0.11676,3770,1.48925,0.68753,1.08429,0.002806,0.002806,0.002806
111,9422.39,1.39646,0.68129,1.04766,0.80303,0.66864,0.75701,0.40574,0.28885,0.11665,3770,1.48865,0.69164,1.08373,0.00274,0.00274,0.00274
112,9504.71,1.39877,0.68031,1.04706,0.77616,0.68683,0.75644,0.40704,0.28746,0.11703,3770,1.48421,0.69123,1.08316,0.002674,0.002674,0.002674
113,9586.9,1.39131,0.6767,1.04364,0.78821,0.67453,0.75552,0.40647,0.28669,0.11652,3770,1.48424,0.68898,1.08353,0.002608,0.002608,0.002608
114,9668.47,1.38823,0.67464,1.04267,0.79929,0.67348,0.75639,0.40778,0.28684,0.11811,3770,1.48855,0.6874,1.08417,0.002542,0.002542,0.002542
115,9750.98,1.38498,0.67586,1.04189,0.8064,0.65836,0.75556,0.40803,0.28793,0.11834,3770,1.48361,0.68555,1.08301,0.002476,0.002476,0.002476
116,9832.77,1.38376,0.67202,1.0423,0.80567,0.66448,0.75605,0.4087,0.29019,0.11883,3770,1.47676,0.68418,1.08102,0.00241,0.00241,0.00241
117,9914.17,1.37687,0.66861,1.03941,0.79864,0.66337,0.75765,0.40879,0.28755,0.11845,3770,1.47872,0.68464,1.08062,0.002344,0.002344,0.002344
118,9995.9,1.37446,0.66689,1.03718,0.7988,0.66181,0.75539,0.40908,0.29005,0.11829,3770,1.47903,0.68274,1.08056,0.002278,0.002278,0.002278
119,10078.6,1.37463,0.67028,1.03744,0.80263,0.67008,0.75827,0.40937,0.29232,0.11975,3770,1.47979,0.68327,1.08089,0.002212,0.002212,0.002212
120,10161.5,1.36783,0.66435,1.03306,0.80672,0.66825,0.75844,0.40795,0.28902,0.11829,3770,1.48232,0.68184,1.08157,0.002146,0.002146,0.002146
121,10242.7,1.3715,0.66481,1.03617,0.80635,0.66878,0.75803,0.41018,0.29069,0.1203,3770,1.47831,0.68053,1.07968,0.00208,0.00208,0.00208
122,10324.7,1.36752,0.66301,1.03471,0.81799,0.66041,0.75934,0.41112,0.2931,0.12103,3770,1.47446,0.68072,1.07846,0.002014,0.002014,0.002014
