epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/clpf_loss,train/mf_sigreg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,val/clpf_loss,val/mf_sigreg_loss,lr/pg0,lr/pg1,lr/pg2
122,35499.8,1.05303,0.55211,0.96861,0.01798,0,0.81489,0.60281,0.6825,0.44331,0.0932,0.03483,2834,1.12753,0.57402,1.01919,0,0,0.002014,0.002014,0.002014
123,35884.8,1.0549,0.55028,0.96383,0.01782,0,0.81747,0.60658,0.68403,0.44578,0.09391,0.03585,2834,1.12593,0.5715,1.0204,0,0,0.001948,0.001948,0.001948
124,36271.1,1.05144,0.55411,0.96863,0.01783,0,0.81793,0.6063,0.68172,0.44414,0.09521,0.03587,2834,1.1235,0.57202,1.01837,0,0,0.001882,0.001882,0.001882
125,36593.2,1.05209,0.55225,0.96748,0.01758,0,0.8075,0.60405,0.68479,0.44379,0.09529,0.03484,2834,1.12844,0.5736,1.0197,0,0,0.001816,0.001816,0.001816
126,36895.7,1.04733,0.55103,0.96282,0.01774,0,0.78786,0.62449,0.68867,0.44736,0.09509,0.03586,2834,1.12516,0.57066,1.01754,0,0,0.00175,0.00175,0.00175
127,37197.2,1.04972,0.54896,0.96093,0.01775,0,0.81658,0.61086,0.68953,0.44843,0.09597,0.03608,2834,1.12346,0.57018,1.01728,0,0,0.001684,0.001684,0.001684
128,37500,1.0394,0.54514,0.95859,0.01759,0,0.80889,0.6086,0.68894,0.44766,0.09541,0.03557,2834,1.12187,0.56967,1.01586,0,0,0.001618,0.001618,0.001618
129,37800.2,1.03732,0.54421,0.96021,0.01778,0,0.7887,0.61165,0.68422,0.44866,0.09333,0.03548,2834,1.12228,0.56821,1.01594,0,0,0.001552,0.001552,0.001552
130,38100.7,1.0336,0.54488,0.95917,0.01754,0,0.83927,0.60227,0.69225,0.45087,0.09681,0.03649,2834,1.11733,0.56722,1.01463,0,0,0.001486,0.001486,0.001486
131,38402.5,1.03269,0.54344,0.9625,0.01765,0,0.84796,0.59773,0.69177,0.44821,0.09447,0.03519,2834,1.11857,0.56685,1.0152,0,0,0.00142,0.00142,0.00142
132,38702.3,1.02588,0.54041,0.95502,0.0177,0,0.81223,0.61009,0.68771,0.44916,0.09499,0.03547,2834,1.11881,0.56542,1.01737,0,0,0.001354,0.001354,0.001354
133,39003.6,1.02663,0.53821,0.9576,0.01783,0,0.80807,0.606,0.68429,0.44883,0.09416,0.03516,2834,1.12289,0.56566,1.01824,0,0,0.001288,0.001288,0.001288
134,39305.3,1.02759,0.53754,0.95449,0.01763,0,0.81237,0.60862,0.68704,0.45095,0.09348,0.03545,2834,1.11666,0.56509,1.01289,0,0,0.001222,0.001222,0.001222
135,39607,1.02673,0.54006,0.95589,0.0176,0,0.81245,0.61249,0.69095,0.4538,0.09366,0.03569,2834,1.11732,0.56475,1.01459,0,0,0.001156,0.001156,0.001156
136,39910.1,1.02208,0.53418,0.9501,0.01749,0,0.83982,0.6076,0.69335,0.45295,0.0959,0.03581,2834,1.11977,0.56233,1.01673,0,0,0.00109,0.00109,0.00109
137,40280.2,1.01929,0.53482,0.95378,0.01751,0,0.81812,0.61144,0.69071,0.45306,0.09332,0.03557,2834,1.11806,0.56321,1.01577,0,0,0.001024,0.001024,0.001024
